"","country","year","country_name","income_level","GDP_growth","GDP","GDP_per_capita","urban_population","physician","population_density","elderly_population","unemployment","population","DALY","DALY_per1000ppl","Neonatal","Ischaemic","Stroke","L_respiratory","Diarrhoeal","Road_inj","Pulmonary","Diabetes","Tuberculosis","Congenital","HIV_AIDS"
"1","AFG",2000,"Afghanistan","Low income",NA,NA,NA,22.078,NA,29.96332889,2.284807347,8.053999901,20780,18183.96598,875.070547641963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2","AFG",2010,"Afghanistan","Low income",14.36244147,16047892927,569.282712,23.737,0.2365,43.22044677,2.353431072,8.06799984,29186,17638.90519,604.361858082642,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"3","AFG",2015,"Afghanistan","Low income",1.45131466,19998156214,592.4765375,24.803,0.285,51.75091455,2.405815764,8.98900032,34414,17435.23075,506.631915790085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","AFG",2019,"Afghanistan","Low income",3.911603419,22071999789,584.3868829,25.754,0.2125,57.90825169,2.417753839,11.08500004,38042,16695.44684,438.868798696178,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5","ALB",2000,"Albania","Upper-middle income",6.946216592,6057217275,1960.881946,41.741,1.3821,112.7382117,7.821964063,19.02799988,3129,819.1329492,261.787455800575,48.41043509,74.76846185,75.59404236,38.7902021,10.93901212,30.04586808,12.70950109,9.770153187,1.203498647,31.83585866,0.148767246
"6","ALB",2010,"Albania","Upper-middle income",3.706938153,10420206418,3577.113388,52.163,1.2347,106.314635,11.61452454,14.09000015,2948,791.6554766,268.539849592944,21.26144906,98.01579651,80.36016411,11.49113629,6.460200488,28.1887814,10.46203076,12.18219372,0.505634161,16.52382676,0.484557871
"7","ALB",2015,"Albania","Upper-middle income",2.218726375,11386850130,3952.802538,57.434,NA,105.135146,13.53343067,17.19000053,2891,743.7066504,257.248927845036,18.79506081,99.05245544,89.22149399,8.823457657,5.813548143,26.30173795,11.95156561,13.99205228,0.473217599,11.76715578,0.692334289
"8","ALB",2019,"Albania","Upper-middle income",2.088063376,12967692915,4543.38652,61.229,1.6471,104.1675547,15.35055266,11.47000027,2881,797.0675776,276.663511836168,20.06806124,117.3512266,109.927724,9.990208733,5.510136518,22.87848186,14.28744561,16.26224584,0.463852208,10.85483007,1.172105316
"9","DZA",2000,"Algeria","Lower-middle income",3.8,96577871097,3138.231048,59.919,NA,12.92106653,4.243646087,29.77000046,31042,8333.689344,268.464961793699,1029.867324,719.0151777,358.4021669,426.0394268,231.4898665,457.4495984,78.85519141,117.5032627,150.737103,325.5604837,3.204541966
"10","DZA",2010,"Algeria","Lower-middle income",3.6,1.40977e+11,3931.721348,67.54,NA,15.05468439,4.830585974,9.960000038,35977,9000.543422,250.174929037996,1160.836117,765.7321621,390.1702484,314.2917505,161.511244,483.8747545,101.8912899,211.0039014,177.5524798,394.1598866,8.781621292
"11","DZA",2015,"Algeria","Lower-middle income",3.7,1.65979e+11,4197.421361,70.848,NA,16.60262556,5.190756848,11.21000004,39728,9902.092188,249.24718556182,1183.15967,860.9026108,434.2490335,364.9609016,179.7939044,494.867191,119.5169604,275.9034124,182.1459996,425.3828076,11.08172407
"12","DZA",2019,"Algeria","Lower-middle income",1,1.77356e+11,4153.004816,73.189,NA,17.93031568,5.855036703,10.49499989,43053,10508.46797,244.082130629689,1240.564343,967.0635034,474.095735,309.8718833,151.4191447,513.9652654,136.5512209,335.9357921,159.9015767,424.372784,11.64585638
"13","AGO",2000,"Angola","Lower-middle income",3.054624234,30042349802,1832.514102,50.087,NA,13.14996551,2.42654932,4.163000107,16395,20131.44078,1227.90123696249,3073.071027,179.655683,260.5874482,3198.891683,3248.596637,312.542968,73.44388019,109.1020165,703.2277453,596.2743281,263.8322723
"14","AGO",2010,"Angola","Lower-middle income",4.859999999,69938841426,2993.420974,59.783,NA,18.74082377,2.598718881,9.430000305,23356,17835.01064,763.615800650796,3149.245648,209.3604229,283.5875964,2597.09398,2027.283188,445.0739572,79.14530524,147.5258109,899.9878949,635.501074,646.3431386
