Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,,,,,,,,,,,,,,,,,,,,,,,,,,,,16.07843137,18.64864865,12.12984055,3.961401727,7.962871744,5.882353953,7.307693245,8.203901293,2.547143687,1.185788511,7.046874992,1.991984449,1.238041842,7.616589113,4.195962803,-0.957771006,1.120879121,7.281025864,-0.384927066,1.138905837,3.0967223,1.833430856,-11.68358552,-2.732595966,3.366778149,-1.035375324,6.429816914,-0.020479214,3.54362966,2.116716123,5.482371174,5.257855673,0.635029268,-18.58909978,17.17250851
Africa Eastern and Southern,AFE,,0.237304296,7.984460465,5.163873351,4.583676845,5.328044215,3.913908552,5.255308765,4.02630212,5.278366198,4.693698648,5.375004877,2.154188929,4.44553625,5.889556136,1.736026722,2.852021852,1.243383228,1.044736399,2.802146025,5.415324351,4.329694247,0.516705286,0.162079464,3.014299606,-0.443352304,2.293989282,4.24385128,4.014474833,2.909917528,-0.032630147,0.11402982,-1.963818059,-0.387732939,2.02448778,4.298652379,5.434042994,4.432872055,1.846008428,2.652282562,3.353977539,3.653224228,3.905250267,3.096044863,5.507314937,6.116924453,6.561318237,6.568776785,4.302481934,0.645423329,5.197137339,3.700190484,0.770097317,4.229408197,4.039082193,2.895728323,2.48595245,2.639537019,2.61079684,2.038298519,-3.042653147,4.402446665
Afghanistan,AFG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8.832277813,1.414117981,11.22971482,5.357403251,13.82631955,3.924983822,21.39052839,14.36244147,0.426354785,12.75228709,5.600744658,2.724543364,1.45131466,2.260314201,2.647003202,1.189228128,3.911603419,-2.351100673,-20.73714562
Africa Western and Central,AFW,,1.835056194,3.772898123,7.28298547,5.392705482,4.05658845,-1.807282961,-9.595924797,1.445940768,15.55381455,17.96320903,10.8352202,3.147801835,4.223260729,10.25752936,-2.190340796,8.582498415,4.736878456,-2.224109197,5.243164939,2.013531526,-6.984419883,-3.377250382,-6.567154462,0.547398609,5.554163207,1.405075965,1.460461982,4.861727082,2.269581537,6.600198632,1.115354676,2.708392551,-1.167105553,-0.311087674,1.912226853,4.625897835,4.225267633,3.499905328,1.415074946,3.743666617,5.217662813,9.938148773,5.532112583,8.022837528,5.852891915,5.379765476,5.539130841,6.283028658,6.288381343,6.96542661,4.852048409,5.135583722,6.108757952,5.930449667,2.745137387,0.113686989,2.305623495,2.946174599,3.190878868,-0.900381895,3.965398557
Angola,AGO,,,,,,,,,,,,,,,,,,,,,,-4.400001219,0,4.200001429,6.000002165,3.49999949,2.900001742,4.082748635,6.128890478,0.041621462,-3.450098685,0.991359302,-5.838280733,-23.98341744,1.339363436,15.00000003,13.54436976,7.274277355,4.691146451,2.181489718,3.054624234,4.205998556,13.66568876,2.99,10.95000001,15.02999999,11.55,14.01000001,11.16999999,0.860000002,4.859999999,3.470000001,8.540000003,4.949999998,4.819999999,0.939999999,-2.579999996,-0.15,-1.316312102,-0.699999998,-5.6,1.1
Albania,ALB,,,,,,,,,,,,,,,,,,,,,,5.745635292,2.948596801,1.104938262,-1.251596644,1.780643959,5.637243179,-0.787842655,-1.420039656,9.836548972,-9.57564017,-28.00214166,-7.187110915,9.559411685,8.302866597,13.32233332,9.099999436,-10.91998408,8.829423758,12.89080364,6.946216592,8.293312631,4.53652416,5.528637465,5.514667911,5.526424247,5.902659036,5.983259519,7.50004143,3.35428935,3.706938153,2.545406145,1.4172428,1.002017541,1.774448853,2.218726375,3.314980684,3.8022274,4.019359685,2.088063376,-3.481630373,8.515501123
Andorra,AND,,,,,,,,,,,,4.649465361,8.149743488,7.788467203,5.618789729,0.542205659,3.303787046,2.838575568,1.463000179,0.041557195,2.208727611,-0.132474511,1.246461111,1.770118317,1.78468669,2.321433034,3.253321776,5.547122171,5.094326203,4.82703425,3.781387586,2.546003524,0.92921404,-1.03148439,2.383182248,2.757501613,4.649738668,9.067672051,3.194793393,4.099078922,3.528362361,8.119357722,4.546362214,8.694203716,8.135676338,5.397795985,4.808688699,1.553188141,-5.559186369,-5.302846543,-1.974958,-0.008069753,-4.974443719,-3.547596515,2.504465521,1.434140395,3.70967807,0.34607189,1.58876549,2.015547638,-11.18393994,8.949417981
Arab World,ARB,,,,,,,,,,,,,,,,,15.76115198,8.130336155,-0.600348986,11.02672041,9.081645243,3.399679721,-8.339887526,-6.234926318,1.305701134,-2.052494989,4.440479925,-0.073272662,5.767972662,2.192387935,12.11103524,2.391693135,5.199694587,3.167077907,3.2807572,3.061416515,4.696610267,4.758653003,5.116632528,1.836737398,6.565675296,1.700444932,0.677285279,4.875143893,8.867132351,5.523116813,6.087340304,4.570573868,5.555533112,0.388333541,4.747810673,3.247513658,5.147833264,2.585797358,2.935539269,3.294068181,3.518252295,1.056332638,2.383924784,1.254307584,-4.79457341,3.670568259
United Arab Emirates,ARE,,,,,,,,,,,,,,,,,16.52685651,21.43933017,-1.58960332,20.92357308,23.87477491,4.659176674,-6.719316186,-4.7458207,4.01695128,-3.594476517,-14.95813656,3.381981709,-2.618907704,12.33789128,18.32798553,0.860081946,3.344944862,1.261190951,6.896148551,6.687886464,5.798404061,8.190398641,0.291994349,2.902213645,10.85270421,1.39908503,2.43345681,8.800540815,9.566436637,4.855141196,9.837319773,3.184390174,3.191836276,-5.242921907,1.602850048,6.928508595,4.776625737,5.055559654,4.165691843,6.786772879,5.561490755,0.735068713,1.313913881,1.108348139,-4.957052437,3.91629608
Argentina,ARG,,5.427842876,-0.852021522,-5.308196825,10.13029766,10.56943334,-0.659726171,3.191996623,4.822500779,9.679526011,3.045643319,5.658131082,1.628416518,2.811754038,5.533804396,-0.028412104,-2.018251517,6.934147757,-4.506124802,10.22276346,1.51878395,-5.189789141,-0.735659159,4.349093279,1.570738702,-5.189024353,6.153377063,2.704868828,-1.089933341,-7.156949656,-2.467213778,9.133110567,7.937291556,8.206979072,5.836200704,-2.845209611,5.526689827,8.111046771,3.850178852,-3.385457041,-0.788998939,-4.408839683,-10.89448483,8.837040796,9.029573301,8.85165992,8.0471515,9.007650875,4.057233103,-5.918525076,10.12539816,6.003951693,-1.026420454,2.405323781,-2.512615321,2.731159828,-2.080327844,2.818502978,-2.617396463,-2.000861003,-9.943235134,10.39824946
