Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,2.37327864,2.461880274,2.56163719,2.664636799,2.767392892,2.881859088,3.016503487,3.187923691,3.405049562,3.648238665,3.908199606,4.192701028,4.45922641,4.69885708,4.933572113,5.16260263,5.410793806,5.66577999,5.886164113,6.057478309,6.199963062,6.403571115,6.621934216,6.748268769,6.811116565,6.831787586,6.839341316,6.882079131,6.934394503,6.906053827,6.754525464,6.518920193,6.359744413,6.328772803,6.34984373,6.405580792,6.472165909,6.557086662,6.662319957,6.771846616,6.919114264,7.149591192,7.425828875,7.700564179,7.992880013,8.285088323,8.54126027,8.779588168,9.027409282,9.297766399,9.609682933,9.980945423,10.40333361,10.85585148,11.33366797,11.84806848,12.40053588,12.98387212,13.60966011,14.27014585,14.93697489,15.54349918
Africa Eastern and Southern,AFE,2.972568039,2.953941136,2.935332008,2.918392454,2.904670333,2.894512889,2.887475268,2.884313083,2.884512717,2.886066282,2.888289818,2.892187804,2.896530951,2.901347412,2.905798889,2.909034247,2.913913667,2.91953789,2.926794767,2.935959655,2.938941858,2.938643715,2.939509901,2.935355461,2.929738861,2.927410057,2.924021986,2.923644473,2.919108533,2.9091011,2.902833829,2.900503446,2.899804201,2.895772577,2.887052953,2.876871663,2.871147525,2.866898081,2.860835335,2.856606795,2.856659959,2.858551655,2.860163415,2.860608755,2.861410765,2.863970227,2.866853866,2.869570555,2.87212003,2.878087229,2.891611011,2.912162706,2.936452925,2.961485754,2.988267972,3.015478983,3.045317551,3.078668173,3.112947405,3.146361742,3.166691499,3.165335309
Afghanistan,AFG,2.833029437,2.817674121,2.799054504,2.778967912,2.758929119,2.739246977,2.721527132,2.706205676,2.691997813,2.677910155,2.663022031,2.64957597,2.636573275,2.622514164,2.610026716,2.599851646,2.592648408,2.584489696,2.5707283,2.550177806,2.524547954,2.497970676,2.464833356,2.428189101,2.382116048,2.326972467,2.287618685,2.265334516,2.252168461,2.249542861,2.246573941,2.246163322,2.25392088,2.265066668,2.27406917,2.279803924,2.284294382,2.286469945,2.285878347,2.285350076,2.284807347,2.284846345,2.288833948,2.293912643,2.296647378,2.29941264,2.302380967,2.305711969,2.317614137,2.335292383,2.353431072,2.373882092,2.391984686,2.403284579,2.409162003,2.405815764,2.398989555,2.399817582,2.407092974,2.417753839,2.416953015,2.404058438
Africa Western and Central,AFW,3.301681132,3.307562947,3.321173478,3.332303304,3.339229698,3.341158698,3.338497269,3.330536646,3.321009587,3.312434357,3.301668689,3.287187731,3.273143065,3.262583255,3.25468001,3.248914259,3.247730734,3.249516494,3.250536109,3.250474287,3.240605959,3.224829149,3.215689827,3.209752748,3.20612775,3.205602623,3.204581212,3.203747625,3.204458353,3.20416509,3.202328454,3.198144671,3.190257767,3.180964846,3.169333804,3.15565409,3.142090328,3.128641099,3.114304292,3.098960159,3.083719996,3.069385905,3.056762798,3.045265555,3.032965691,3.020523709,3.009518608,2.999763099,2.991373969,2.984616206,2.978287899,2.970061005,2.959301274,2.942428986,2.917341272,2.899566207,2.893535376,2.891033544,2.892692621,2.898528557,2.896956505,2.883146349
Angola,AGO,3.0800444,3.094296931,3.097629224,3.097381401,3.093087339,3.0845548,3.07101492,3.0511696,3.02476729,2.991860094,2.952634215,2.909836072,2.863168698,2.812018036,2.759076101,2.703430383,2.645538832,2.586478018,2.527867528,2.472157288,2.418834037,2.36887019,2.32343767,2.279084716,2.236636153,2.200073596,2.169725674,2.14184383,2.117816303,2.102714647,2.095731651,2.101067158,2.114801915,2.134378339,2.164216529,2.202281766,2.245693884,2.292045953,2.337656532,2.382656399,2.42654932,2.468107104,2.506568443,2.541242531,2.569901911,2.58955362,2.601337379,2.606399982,2.606474548,2.603536465,2.598718881,2.592223957,2.584827852,2.573570385,2.556774906,2.546816715,2.545834262,2.549056515,2.559534927,2.575997135,2.589975209,2.594469848
Albania,ALB,5.489078062,5.426553994,5.380799592,5.33789228,5.288344739,5.222264626,5.137083632,5.040370373,4.94430227,4.860410152,4.797092653,4.756922302,4.737917494,4.737016783,4.748300249,4.766101334,4.784950397,4.803075543,4.818898438,4.831652856,4.853736073,4.888302438,4.932248316,4.991367951,5.068978747,5.162726907,5.267391885,5.379954634,5.497042079,5.61533541,5.737989123,5.872114301,6.024280368,6.194681418,6.381681716,6.583649072,6.799250825,7.02823446,7.271712195,7.534021557,7.821964063,8.145374257,8.508105038,8.899815745,9.308443989,9.719883771,10.12060717,10.51660681,10.90194462,11.26527299,11.61452454,11.96302627,12.32096198,12.69380751,13.09814979,13.53343067,13.97133627,14.40114192,14.85033262,15.35055266,15.82211268,16.23424096
Andorra,AND,6.80434207,6.436297783,6.038044218,5.680138519,5.421591805,5.260829493,5.145744535,5.077963733,5.082115987,5.124939021,5.176103321,5.220083015,5.266730904,5.333387993,5.430247092,5.573545108,5.735060679,5.906491324,6.115400556,6.376310702,6.681924125,7.003717472,7.230944609,7.385239414,7.581702445,7.836199911,8.102270609,8.377243623,8.712201311,9.087212061,9.484874789,9.767383128,9.952255012,10.16718507,10.40024903,10.65988638,11.02693012,11.48000989,11.91599359,12.32731704,12.71757631,12.75803598,12.47591692,12.23759429,12.02857013,11.83832234,11.71084698,11.59290507,11.40424693,11.15067974,10.82571886,10.80596592,11.17549727,11.6252023,12.10320923,12.58824595,12.93139694,13.1845361,13.51023482,13.84278847,14.19498069,14.53551636
Arab World,ARB,3.486849501,3.50853567,3.54090772,3.567987505,3.589316625,3.606188563,3.610552352,3.602917787,3.593088614,3.580698871,3.565932532,3.550233228,3.534087951,3.516722758,3.496564844,3.482156581,3.479445678,3.467327407,3.438826874,3.409731599,3.383673607,3.357887552,3.332335005,3.310054751,3.29628043,3.290449293,3.29159526,3.298090514,3.305693365,3.318042136,3.329526544,3.354522387,3.377495512,3.400987968,3.424666157,3.449814718,3.491583023,3.549575143,3.591042654,3.614214184,3.632748323,3.647506315,3.660212074,3.667602646,3.669403499,3.662564802,3.645000595,3.623468874,3.60678375,3.601236781,3.614591319,3.652740086,3.705761075,3.76498207,3.828259859,3.897071272,3.972503118,4.057329797,4.151618603,4.252383078,4.355763403,4.453652479
United Arab Emirates,ARE,2.30427353,2.187482267,2.081241289,1.983675835,1.888019455,1.799806095,1.716353714,1.634505116,1.569892523,1.547615992,1.560799035,1.587458238,1.61914119,1.661774764,1.724444589,1.82372275,1.793863984,1.639855643,1.494849618,1.352136025,1.223610113,1.170172154,1.173004206,1.171366664,1.164652204,1.156475381,1.132874537,1.098857866,1.072144583,1.051154414,1.035101675,1.02398272,1.017847295,1.015524782,1.014308998,1.009988338,0.989044733,0.957533333,0.931403258,0.911732869,0.897588123,0.885820802,0.87244123,0.854332948,0.829243398,0.77318501,0.630644763,0.433596634,0.268190673,0.171770443,0.175989189,0.247725856,0.33109176,0.428292426,0.541775269,0.673961878,0.827883285,1.007807917,1.219681976,1.471021989,1.653975665,1.758413872
Argentina,ARG,5.170224873,5.308940325,5.447347368,5.584944535,5.723478103,5.863094567,6.007956661,6.154902531,6.295307081,6.423051728,6.549158808,6.671835502,6.78418915,6.893361317,7.000254167,7.112785604,7.230754724,7.353307918,7.479965554,7.599060387,7.706056091,7.803739803,7.890667565,7.969542777,8.046172396,8.127268787,8.220663651,8.325963422,8.442561037,8.568526062,8.699638101,8.840185922,8.984188364,9.1183462,9.244726156,9.359350726,9.458975271,9.541596814,9.612105695,9.679016723,9.7419049,9.803152933,9.866431932,9.920883482,9.978027115,10.05273915,10.13624808,10.21733526,10.30392512,10.40811319,10.51373739,10.62366904,10.74837974,10.87560216,10.9955028,11.11248057,11.22001902,11.33044605,11.45975435,11.60059823,11.72745414,11.82190739
Armenia,ARM,5.899725231,5.608385366,5.360174291,5.156467407,5.004815689,4.908974773,4.865419064,4.8698916,4.909183306,4.969655046,5.047137817,5.135486466,5.22890725,5.323786695,5.420381541,5.512790826,5.588194776,5.627842774,5.622644285,5.607434539,5.575411236,5.487193077,5.372170801,5.271839375,5.184541132,5.108415244,5.056740951,5.040857991,5.063876709,5.132873507,5.2853483,5.516676521,5.943606135,6.530363795,7.073392569,7.530977426,7.892636858,8.22452221,8.521686134,8.78387114,9.079039496,9.459778844,9.881990153,10.29547661,10.65538719,10.94038683,11.11823892,11.11330974,10.91213927,10.61916377,10.38571181,10.29340971,10.31091596,10.37575337,10.47823139,10.65592948,10.9205345,11.24599086,11.61043124,12.02424377,12.40789654,12.74540944
American Samoa,ASM,2.621293968,2.564724135,2.472734111,2.41013258,2.390095339,2.374845026,2.38371611,2.4227302,2.465978093,2.479495388,2.48199446,2.491528802,2.499732744,2.521995163,2.545498414,2.563192155,2.594585645,2.649640603,2.726867761,2.79290384,2.820391966,2.856765366,2.905291731,2.957669797,3.007755188,3.04057887,3.055518492,3.072919098,3.105631905,3.142283097,3.178719311,3.212802221,3.249962558,3.279008872,3.292310929,3.278964813,3.24587156,3.208132788,3.16855997,3.140084037,3.179659794,3.284239764,3.399109614,3.526031015,3.647690692,3.742969923,3.817901913,3.889504722,3.941635877,3.964526966,4.041057804,4.176947155,4.329363121,4.514576847,4.719772486,4.948606136,5.207342214,5.486929624,5.78535437,6.105176403,6.453917599,6.844676363
Antigua and Barbuda,ATG,3.71872826,3.830562717,3.998561605,4.192808619,4.370653212,4.505939457,4.605257731,4.673223299,4.715279773,4.744124753,4.866896578,5.112052927,5.405363629,5.730419,6.069217892,6.407433435,6.735374782,7.042594008,7.335007034,7.613549301,7.883401783,8.153480903,8.407110171,8.644202544,8.849246116,9.009500676,9.131298146,9.203993629,9.220562033,9.186696105,9.10102956,8.969261715,8.792279497,8.586054213,8.377564408,8.169098512,7.950800883,7.729139608,7.531141487,7.376627247,7.25867697,7.174440727,7.117041259,7.063766018,7.016632675,6.988318371,6.973811893,6.967585395,6.976492775,7.0084641,7.100180874,7.245558003,7.409266145,7.586132863,7.796180914,8.063664311,8.401194729,8.756132091,9.085898576,9.428821112,9.804778555,10.19260992
Australia,AUS,8.57660463,8.580904845,8.596467652,8.606533164,8.598415557,8.582996041,8.559948047,8.531997754,8.491691978,8.445831156,8.4174958,8.417415846,8.466435196,8.551918613,8.645548009,8.773271874,8.934300237,9.093513061,9.263320396,9.447380939,9.618220981,9.756248345,9.867797919,9.972976146,10.0975925,10.25804302,10.45408595,10.64246264,10.80132505,10.93758447,11.083785,11.26230022,11.44251993,11.61419494,11.76367712,11.88929689,12.00599632,12.11175535,12.20855636,12.28791199,12.36854599,12.46893564,12.57032558,12.67543087,12.78845841,12.90237593,13.01136511,13.10974052,13.20636659,13.34930713,13.56620937,13.83718878,14.12543668,14.40088251,14.66477062,14.92486651,15.17582989,15.41849971,15.66882366,15.93194154,16.23359292,16.56915533
Austria,AUT,12.21028211,12.40319842,12.59519086,12.76289074,12.96566386,13.16542978,13.35833295,13.55832068,13.73980821,13.90701722,14.05481266,14.19164169,14.31908611,14.44984505,14.63004525,14.84851508,15.01734347,15.16806368,15.31802061,15.42952543,15.38276965,15.08508136,14.70379746,14.34188681,14.13103351,14.16116672,14.31852674,14.5250314,14.72466727,14.86475854,14.94279196,14.95112975,14.91399525,14.92124091,15.00188082,15.11707347,15.21974441,15.30450316,15.37121003,15.40028179,15.41303315,15.43474258,15.43300204,15.44696964,15.7088972,16.18938148,16.65682624,17.00454819,17.25869252,17.509071,17.635641,17.71443403,17.92926658,18.18002724,18.36984516,18.44460597,18.48506262,18.59689962,18.75050796,18.93011208,19.14942976,19.44115734
Azerbaijan,AZE,4.737608174,4.615381373,4.513660795,4.432556564,4.369280952,4.322347442,4.286589987,4.260920747,4.245799381,4.232924709,4.223697896,4.221786797,4.226473551,4.235054062,4.244039091,4.249602849,4.389799596,4.674933839,4.984307342,5.120936542,5.052295063,4.943488815,4.818088162,4.712306098,4.61813682,4.51995606,4.424081945,4.350339318,4.325657186,4.357966652,4.418197979,4.490428636,4.604683189,4.772253148,4.93084175,5.037563393,5.106476499,5.158104097,5.214345483,5.32903402,5.518887684,5.743572555,5.980845728,6.195882536,6.338477149,6.387082885,6.342275249,6.19751665,5.971918385,5.75003169,5.575042877,5.441368854,5.369352372,5.358912602,5.401123531,5.487966722,5.617071669,5.78473042,5.990300045,6.241042855,6.471513574,6.716586224
Burundi,BDI,3.177769829,3.184761215,3.19687428,3.216324232,3.230361388,3.234851357,3.239343535,3.246578936,3.253731584,3.26260232,3.270494931,3.27514492,3.282316734,3.288468269,3.29002588,3.291687471,3.292956282,3.289226435,3.277818206,3.266599588,3.239215416,3.206718442,3.183417145,3.158993468,3.134688125,3.109999062,3.082379564,3.043806638,2.990625948,2.92902633,2.863811338,2.795536986,2.723179267,2.678174762,2.639298576,2.57812396,2.521884092,2.486401608,2.463962262,2.446158526,2.430909595,2.418837845,2.410527817,2.404069411,2.396848478,2.387535476,2.37639066,2.364294935,2.353182351,2.34240931,2.32759595,2.31037615,2.294655524,2.282415204,2.265435753,2.275166602,2.318663729,2.362182808,2.404173325,2.442694376,2.466721873,2.476182979
Belgium,BEL,11.98711872,12.11585598,12.27220545,12.38220363,12.50525776,12.65942863,12.82653443,13.00946026,13.1519788,13.27131702,13.399591,13.51560225,13.636112,13.76229186,13.87868036,13.98242288,14.05886119,14.16275906,14.2932513,14.40867467,14.43671883,14.30102011,14.05801817,13.77619309,13.62765423,13.7432393,13.97695547,14.213884,14.46868041,14.71126588,14.94253185,15.16594957,15.36369903,15.5436743,15.73204258,15.95701243,16.19117694,16.40359345,16.57405197,16.70275499,16.80178248,16.88271282,16.96088438,17.04240225,17.13086422,17.16941407,17.1142141,17.04451596,17.05010182,17.12042835,17.20317801,17.36884561,17.5984539,17.80417674,18.01571892,18.21216417,18.38894723,18.57801353,18.78355297,19.01177683,19.20761939,19.41707041
Benin,BEN,5.966264164,5.845289884,5.732593864,5.628216707,5.530029675,5.437190658,5.349395871,5.265602786,5.185840083,5.109439998,5.034674045,4.962244775,4.892871897,4.825075576,4.756917514,4.688707471,4.622160982,4.556791093,4.492872692,4.4284172,4.360868073,4.291400201,4.221886207,4.154126793,4.087016507,4.020656392,3.956414113,3.8941095,3.8339693,3.775634177,3.718817447,3.663202971,3.608996519,3.541011365,3.481222083,3.442382181,3.405508828,3.370590632,3.338318513,3.308677252,3.281784012,3.257039391,3.233154143,3.210998005,3.193201288,3.179312537,3.170905637,3.168797286,3.171088518,3.175710434,3.180766887,3.18297747,3.17751154,3.16043765,3.120804225,3.09177896,3.087689972,3.085106782,3.08584094,3.090360283,3.088861035,3.076384783
