Country Name,Country Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Aruba,ABW,50.776,50.761,50.746,50.73,50.715,50.7,50.685,50.67,50.654,50.639,50.624,50.609,50.593,50.578,50.563,50.548,50.532,50.517,50.502,50.487,50.472,50.456,50.441,50.426,50.411,50.395,50.38,50.365,50.35,50.335,50.319,50.304,49.998,49.588,49.177,48.767,48.356,47.946,47.536,47.127,46.717,46.339,45.972,45.606,45.24,44.875,44.511,44.147,43.783,43.421,43.059,42.94,42.957,42.99,43.041,43.108,43.192,43.293,43.411,43.546,43.697,43.866
Africa Eastern and Southern,AFE,14.56381043,14.81140998,15.06924899,15.3479756,15.64019479,15.94128248,16.25517674,16.57431036,16.89960822,17.23451811,17.5519668,17.87532103,18.2205349,18.56234199,18.87889878,19.2012052,19.52412472,19.86043758,20.21509625,20.55502211,20.87611235,21.16569006,21.44510584,21.78710683,22.1925357,22.6451052,23.14812802,23.65964923,24.17354935,24.68285012,25.20279853,25.64514605,26.0738739,26.50982315,26.94870886,27.33528819,27.62489733,27.91107222,28.20337531,28.48986785,28.77277994,29.07159081,29.38619028,29.69841935,30.0141481,30.34986851,30.67606551,30.93476639,31.3432413,31.7575262,32.18129099,32.61769197,33.0404736,33.47620794,33.93695926,34.42558069,34.89474989,35.3588983,35.84759569,36.33625755,36.8283008,37.32369749
Afghanistan,AFG,8.401,8.684,8.976,9.276,9.586,9.904,10.233,10.57,10.918,11.275,11.643,12.021,12.41,12.809,13.219,13.641,14.074,14.517,14.973,15.442,15.995,16.562,17.147,17.747,18.365,18.997,19.647,20.314,20.998,21.088,21.177,21.266,21.355,21.444,21.534,21.624,21.714,21.805,21.895,21.986,22.078,22.169,22.261,22.353,22.5,22.703,22.907,23.113,23.32,23.528,23.737,23.948,24.16,24.373,24.587,24.803,25.02,25.25,25.495,25.754,26.026,26.314
Africa Western and Central,AFW,14.70539066,15.09012323,15.48407552,15.89759195,16.32920785,16.7786497,17.20795572,17.65247994,18.11095152,18.58200485,19.05271916,19.59337789,20.14975404,20.71632097,21.29494255,21.88312439,22.48766297,23.05398315,23.62077518,24.10033171,24.58509378,25.19257776,25.7978068,26.4084325,27.04929092,27.73112276,28.40499225,29.07064069,29.72546965,30.36545568,30.97054111,31.41032961,31.8374912,32.25912629,32.66626951,33.06728281,33.47407439,33.92780633,34.39329311,34.86351804,35.33704938,35.94490802,36.55488138,37.17331288,37.79897678,38.43448377,39.07930362,39.72159768,40.36053533,41.00151175,41.6471579,42.28829917,42.92588498,43.55409389,44.18017501,44.80586326,45.42506638,46.03947782,46.64942583,47.25541322,47.85783102,48.45480627
Angola,AGO,10.435,10.798,11.204,11.624,12.058,12.504,12.965,13.441,13.932,14.436,14.957,15.632,16.455,17.31,18.202,19.128,20.092,21.088,22.122,23.192,24.298,25.437,26.612,27.821,29.065,30.338,31.643,32.978,34.343,35.731,37.144,38.58,40.039,41.511,43,44.169,45.346,46.525,47.71,48.897,50.087,51.274,52.461,53.645,54.827,56,56.764,57.524,58.282,59.034,59.783,60.528,61.268,62.002,62.731,63.446,64.149,64.839,65.514,66.177,66.825,67.46
Albania,ALB,30.705,30.943,31.015,31.086,31.158,31.23,31.302,31.374,31.446,31.548,31.74,31.933,32.127,32.321,32.516,32.712,32.908,33.105,33.302,33.5,33.762,34.024,34.287,34.552,34.817,35.083,35.35,35.619,35.888,36.158,36.428,36.7,37.249,37.799,38.354,38.911,39.473,40.035,40.601,41.169,41.741,42.435,43.501,44.573,45.651,46.731,47.815,48.902,49.991,51.076,52.163,53.247,54.33,55.387,56.423,57.434,58.421,59.383,60.319,61.229,62.112,62.969
Andorra,AND,58.45,60.983,63.462,65.872,68.205,70.445,72.593,74.641,76.588,78.424,80.155,81.78,83.301,84.716,86.032,87.252,88.382,89.42,90.378,91.257,92.064,92.8,93.474,94.089,94.649,95.159,95.325,95.178,95.027,94.872,94.712,94.53,94.324,94.111,93.89,93.661,93.425,93.18,92.927,92.666,92.395,92.056,91.641,91.207,90.751,90.285,89.807,89.308,89.004,88.912,88.819,88.726,88.631,88.537,88.441,88.345,88.248,88.15,88.062,87.984,87.916,87.858
Arab World,ARB,31.02216188,31.75467745,32.49483178,33.26149267,34.0537932,34.8829851,35.67325391,36.35762813,37.05704886,37.76711288,38.48154839,39.1690007,39.87109149,40.5662377,41.1977299,41.79875089,42.44446574,43.0660749,43.54181167,43.97176719,44.48379226,45.03432183,45.57116622,46.13877694,46.77646698,47.38966239,48.00531931,48.57516774,49.09980192,49.59508467,50.07441208,50.47117522,51.01902671,51.43480893,51.70241417,51.89850358,52.09192389,52.31617472,52.56200104,52.81052593,53.05599738,53.31180115,53.56643276,53.83016211,54.09552247,54.43522307,54.83430038,55.11966826,55.55929239,55.99675694,56.38041756,56.63799513,56.86422135,57.17797382,57.50726083,57.84615313,58.12325538,58.37128997,58.62957616,58.88381697,59.08761901,59.29488647
United Arab Emirates,ARE,73.5,74.383,75.248,76.093,76.919,77.723,78.508,79.272,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.8,79.903,80.106,80.309,80.51,80.71,80.683,80.466,80.247,80.026,79.804,79.624,79.482,79.339,79.196,79.051,78.906,78.76,78.614,78.467,78.319,78.493,78.938,79.378,79.81,80.236,80.655,81.067,81.472,81.871,82.262,82.648,83.023,83.387,83.742,84.087,84.423,84.749,85.066,85.375,85.674,85.965,86.248,86.522,86.789,87.048,87.299
Argentina,ARG,73.611,74.217,74.767,75.309,75.844,76.369,76.888,77.398,77.901,78.394,78.88,79.321,79.743,80.158,80.567,80.969,81.366,81.755,82.139,82.516,82.887,83.313,83.759,84.194,84.621,85.038,85.445,85.843,86.233,86.613,86.984,87.328,87.542,87.752,87.96,88.164,88.366,88.564,88.759,88.952,89.142,89.329,89.51,89.686,89.86,90.031,90.2,90.366,90.53,90.691,90.849,90.99,91.121,91.249,91.377,91.503,91.627,91.749,91.87,91.991,92.111,92.229
